IP,HOST,USER
192.168.0.1,router,
192.168.0.5,ltsp,
192.168.1.20,media-laptop,media
192.168.1.1,ltsp,
192.168.1.3,Samsung,
192.168.1.4,HP,
192.168.1.28,rpi,pi

